,CoLM-U,ASLUMv2,ASLUMv3.1,BEPCOL,CLM5U,CM-BEM,CM,K-UCMv1,MUSE,NOAH-SLUCM,SNUUCM,TARGET,TEB-READING,TEB-CNRM,TEB-SPARTCS,UCLEM,UT&C,VTUF-3D,VUCM
SWup,3.6265,4.1167,7.93841,5.03895,3.80392,10.6035,14.4823,9.76745,4.85726,5.27463,5.48227,17.2637,5.8642,13.5863,13.4523,5.15707,6.22227,22.7408,4.96164
LWup,6.3806,9.98529,9.25838,20.8311,18.1885,17.8744,31.3983,9.82445,28.3175,30.9317,37.6013,52.3024,16.8396,14.352,16.9429,20.0661,15.0238,15.9267,17.6099
Qh,33.2661,31.9511,33.2616,51.0363,31.1353,44.1283,41.4563,41.6627,49.7922,32.8153,32.442,50.1342,48.6317,42.1819,37.7906,35.3751,36.1587,37.1159,36.8666
Qle,37.9636,44.1647,43.2976,44.8466,36.4453,36.4583,42.1947,35.6243,47.3731,41.8126,41.9518,49.9237,42.1216,37.4772,37.308,35.0959,35.8198,44.1035,46.4188
